name,pos,age,team,games,3PM,3PA,3%,PPG
Jim Spanarkel,SG,22,PHI,40,0.0,0.1,.000,5.0
Larry Steele,SF,30,POR,16,0.0,0.3,.000,9.1
Earl Tatum,SG,26,CLE,33,0.1,0.2,.333,2.6
Brian Taylor,PG,28,SDC,78,1.2,3.1,.377,13.5
Reggie Theus,SG,22,CHI,82,0.3,1.3,.267,20.2
David Thompson,SG,25,DEN,39,0.2,0.5,.368,21.5
Rudy Tomjanovich,PF,31,HOU,62,0.4,1.3,.278,14.2
Bernard Toone,PF,23,PHI,23,0.0,0.3,.143,2.4
Raymond Townsend,SG,24,GSW,75,0.1,0.3,.154,5.4
Dave Twardzik,PG,29,POR,67,0.1,0.1,.571,8.5
Terry Tyler,SF,23,DET,82,0.0,0.1,.167,12.3
Wes Unseld,C,33,WSB,82,0.0,0.0,.500,9.7
Jan van Breda Kolff,SF,28,NJN,82,0.1,0.2,.350,6.8
Andre Wakefield,SG,25,UTA,8,0.0,0.0,,1.9
Foots Walker,PG,28,CLE,76,0.0,0.1,.111,9.4
Wally Walker,SF,25,SEA,70,0.0,0.0,,4.7
Bill Walton,C,27,SDC,14,0.0,0.0,,13.9
Lloyd Walton,PG,26,MIL,76,0.0,0.0,.333,3.6
Kermit Washington,PF,28,POR,80,0.0,0.0,.000,13.4
Richard Washington,PF,24,MIL,75,0.0,0.0,,5.9
Nick Weatherspoon,SF,29,SDC,57,0.0,0.0,,6.9
Marvin Webster,C,27,NYK,20,0.0,0.0,,4.4
Scott Wedman,SF,27,KCK,68,0.1,0.3,.318,19.0
Paul Westphal,SG,29,PHO,82,0.3,1.1,.280,21.9
Jo Jo White,PG,33,GSW,78,0.0,0.1,.167,9.9
Rudy White,SG,26,HOU,9,0.0,0.0,,4.0
Jerome Whitehead,C,23,SDC,18,0.0,0.0,,3.3
Jerome Whitehead,C,23,UTA,32,0.0,0.0,,2.1
Sidney Wicks,PF,30,SDC,71,0.0,0.0,.000,7.1
Bob Wilkerson,SF,25,DEN,75,0.1,0.5,.206,13.8
Jamaal Wilkes,SF,26,LAL,82,0.0,0.2,.176,20.0
Duck Williams,PG,23,UTA,77,0.0,0.2,.000,6.6
Freeman Williams,SG,23,SDC,82,0.5,1.6,.328,18.6
Gus Williams,PG,26,SEA,82,0.1,0.4,.194,22.1
Ray Williams,PG,25,NYK,82,0.1,0.5,.189,20.9
Sly Williams,SF,22,NYK,57,0.0,0.1,.000,4.7
John Williamson,SG,28,NJN,28,0.3,0.7,.421,17.7
John Williamson,SG,28,WSB,30,0.1,0.5,.188,11.6
Bill Willoughby,SF,22,CLE,78,0.0,0.1,.111,6.9
Bubba Wilson,SG,24,GSW,16,0.0,0.0,,1.1
Rick Wilson,SG,23,ATL,5,0.0,0.0,,1.6
Brian Winters,SG,27,MIL,80,0.5,1.3,.373,16.2
Larry Wright,PG,25,WSB,76,0.1,0.2,.250,7.3
Tony Zeno,SF,22,IND,8,0.0,0.0,,1.8
